id,title,description,link,image_link,additional_image_link,availability,price,sale_price,sale_price_effective_date,google_product_category,brand,MPN,condition,age_group,color,gender,material,size,store_code
001-110-00630,Cobalt/14kyg/white/yellow Gent's Band Metal,7mm W/14ky.001 110 00630 Sk C3012cc7 Cobalt/14kyg White/yellow Gold  scott Kay Inc. Metal  gent's Band Men  men's  mens  male  gents  gent ,https://www.ltdenny.com/shop/001-110-00630,https://s4.v360.in/images/company/308/imaged/001-110-00630/bA94.jpg,https://s4.v360.in/images/company/308/imaged/001-110-00630/bA96.jpg,in stock,500,,,200,LTDenny,SK-C3012CC7,new,adult,White/Yellow,male,Cobalt/14KYG,10.25,515
001-115-02395,18krg/rose Lady's Band Plain,Plain Rounded Wire Band.001 115 02395 Guardbands 18krg Rose Gold  ltdenny Plain  lady's Band Guardban  ladys  lady ,https://www.ltdenny.com/shop/001-115-02395,https://s4.v360.in/images/company/308/imaged/001-115-02395/bA1.jpg,https://s4.v360.in/images/company/308/imaged/001-115-02395/bA3.jpg,out of stock,375,,,200,LTDenny,GuardBands,new,adult,Rose,female,18KRG,6,515
001-140-00401,"Platinum/white Engagement Ring Pave Set With Zironcium,diamond",Westray .04ct Vs Platinum W/1.25 Rd.001 140 00401 A021 Wes/a82 Cz Bpl Platinum White Platinum  maevona Pave  engagement Ring,https://www.ltdenny.com/shop/001-140-00401,https://s4.v360.in/images/company/308/imaged/001-140-00401/bA102.jpg,https://s4.v360.in/images/company/308/imaged/001-140-00401/bA104.jpg,in stock,2320,,,200,Maevona,A021-WES/A82-CZ-BPL,new,adult,White,female,platinum,6.5,515
001-115-02400,18krg/rose Lady's Band Plain,Plain Rounded Wire Band18krg.001 115 02400 Guardbands 18krg Rose Gold  ltdenny Plain  lady's Band Guardban  ladys  lady ,https://www.ltdenny.com/shop/001-115-02400,https://s4.v360.in/images/company/308/imaged/001-115-02400/bA1.jpg,https://s4.v360.in/images/company/308/imaged/001-115-02400/bA3.jpg,in stock,375,,,200,LTDenny,GuardBands,new,adult,Rose,female,18KRG,5.75,515
001-110-00661,Palladium/white Gent's Band Metal,8mm  beveled Edge.001 110 00661 Cf68485pd09 Palladium White Palladium  benchmark Metal  gent's Band Men  men's  mens  male  gents  gent ,https://www.ltdenny.com/shop/001-110-00661,https://s4.v360.in/images/company/308/imaged/001-110-00661/bA13.jpg,https://s4.v360.in/images/company/308/imaged/001-110-00661/bA15.jpg,in stock,1615,,,200,Benchmark,CF68485PD09,new,adult,White,male,palladium,9,515
001-140-00406,"18krg/rose Engagement Ring Halo Set With Zironcium,diamond",Iris Pave .19ct 18k Rose Gold W/1ct Center.001 140 00406 A060 Iri/pv/d8 Cz B 18krg Rose Gold  maevona Halo  engagement Ring,https://www.ltdenny.com/shop/001-140-00406,https://s4.v360.in/images/company/308/imaged/001-140-00406/bA1.jpg,https://s4.v360.in/images/company/308/imaged/001-140-00406/bA3.jpg,in stock,2070,,,200,Maevona,A060-IRI/PV/D8-CZ-B,new,adult,Rose,female,18KRG,6.5,515
001-115-02406,18krg/rose Lady's Band Plain,Lady's Rose 18krg Plain Ladies Band Size 4.75 Length 1.5.001 115 02406 Guardbands 18krg Rose Gold  ltdenny Plain  lady's Band Guardban  ladys  lady ,https://www.ltdenny.com/shop/001-115-02406,https://s4.v360.in/images/company/308/imaged/001-115-02406/bA1.jpg,https://s4.v360.in/images/company/308/imaged/001-115-02406/bA3.jpg,in stock,275,,,200,LTDenny,GuardBands,new,adult,Rose,female,18KRG,4.75,515
001-110-00675,Tungsten/white Gent's Band Metal,8mm W/sterling Silver Stripe.001 110 00675 W8ref12/ss Tungsten White Tungsten  lashbrook Designs Metal  gent's Band Men  men's  mens  male  desig  gents  gent ,https://www.ltdenny.com/shop/001-110-00675,https://s4.v360.in/images/company/308/imaged/001-110-00675/bA10.jpg,https://s4.v360.in/images/company/308/imaged/001-110-00675/bA12.jpg,in stock,450,,,200,LTDenny,W8REF12/SS,new,adult,White,male,Tungsten,10.75,515
001-140-00417,"Platinum/white Engagement Ring Halo Set With Zironcium,diamond",7.5mm. Ctr.001 140 00417 266319 Platinum White Platinum  precisionset Halo  engagement Ring,https://www.ltdenny.com/shop/001-140-00417,https://s4.v360.in/images/company/308/imaged/001-140-00417/bA78.jpg,https://s4.v360.in/images/company/308/imaged/001-140-00417/bA80.jpg,in stock,6600,,,200,PrecisionSet,266319,new,adult,White,female,platinum,6.25,515
001-115-02412,18kwg/white Lady's Band Plain,Lady's White 18kwg Plain Ladies Band Size 5.25 Length 1.5.001 115 02412 Guardbands 18kwg White Gold  ltdenny Plain  lady's Band Guardban  ladys  lady ,https://www.ltdenny.com/shop/001-115-02412,https://s4.v360.in/images/company/308/imaged/001-115-02412/bA10.jpg,https://s4.v360.in/images/company/308/imaged/001-115-02412/bA12.jpg,in stock,275,,,200,LTDenny,GuardBands,new,adult,White,female,18KWG,5.25,515
